Timestamp(s)	        X(m)	                Y(m)	                Z(m)	                Roll(deg)	        Pitch(deg)	        Yaw(deg)	        Std.X(m)	        Std.Y(m)	        Std.Z(m)	        TrackingStatus
152.568997442722	84.7896485840330	75.9065198531292	40.9251826123764	2.60405382178124	-2.13546724998055	78.4625789422260	0.00414756619839373	0.00356674346059402	0.00735213600534010	1
152.739988267422	84.6323374579940	76.0008776127303	40.6157949080045	2.37875207803623	-2.37750266459976	78.1971946987844	0.00414846208379217	0.00356397076043332	0.00735162014773933	1
152.888991683722	84.5639504823760	76.0405160361440	40.4572062137833	1.78374673770597	-2.21354889266748	78.0626397420603	0.00414594900970307	0.00357350609371846	0.00734776759023148	1
153.015001863241	84.4776272481634	76.1011493260291	40.2789142770519	2.13588706660542	-0.550898346948860	78.1040225384345	0.00411830627423450	0.00361284574509243	0.00732559333760409	1
153.175491839647	84.3509924617389	76.1913895623862	39.9484648507622	2.23407960740710	0.894563342689114	78.3279582059470	0.00409276974692159	0.00364682093120140	0.00730557195589269	1
153.305988013744	84.2940265168388	76.2392856281111	39.7937195382126	2.15267939486535	0.776619828934199	78.4773206051347	0.00409470266426148	0.00364577733645313	0.00730592104558617	1
153.409990668297	84.2615896169561	76.2758678576679	39.6277278910808	2.21004780131920	0.327290561476555	78.3585984627692	0.00410056985628755	0.00363631974889424	0.00731095892613132	1
153.512504696846	84.2348130529831	76.3090242605622	39.4742644396148	2.29281688829100	0.156856314316586	78.2273953725040	0.00410208838181161	0.00363319390381581	0.00731281352393629	1
153.623497858644	84.2058266476226	76.3484404132632	39.2997874003737	2.10667035033977	0.689666697481413	77.9684394208489	0.00409238694033739	0.00364799421567990	0.00730587664619047	1
153.728496283293	84.1734759719584	76.3904605105098	39.1257313311156	1.70903205259298	1.23028749004643	77.7967646188175	0.00408311507525289	0.00366347471417708	0.00729866569645544	1
153.832498937845	84.1329545718620	76.4310689174239	38.9685114021552	1.35643063805896	1.57932039666727	77.7399828853040	0.00407726222303308	0.00367406628754609	0.00729363181597979	1
153.940997645259	84.1191336292248	76.4466261990574	38.7990908325622	1.21782349760392	2.01237223913003	77.6847887559411	0.00406976230128774	0.00368537753261043	0.00728836470570503	1
154.048993438482	84.0887818151067	76.4781972047622	38.6445576264095	0.933391861070786	1.89773936142425	77.5958942333552	0.00407102374891675	0.00368551608285788	0.00728914865596045	1
154.151507467031	84.0697211865035	76.5062835320164	38.4751900915049	0.289762244203770	1.47188424476333	77.5105252795459	0.00407682694056018	0.00368047212447689	0.00729387059742784	1
154.251496866345	84.0473535015694	76.5292482512404	38.3178530249340	0.316266494873586	1.01938933039018	77.4309606620675	0.00408274187405423	0.00367165786663158	0.00729903782079762	1
154.355006664991	84.0311428158560	76.5504483196886	38.1408176759712	0.107238102711328	1.47657767264566	77.5489320434573	0.00407495965357425	0.00368339552032754	0.00729341278427898	1
154.468001425266	84.0052202569436	76.5689384228625	37.9763395701981	0.0418409526057710	3.16661713898803	77.8218920551908	0.00404888021601043	0.00372013867561795	0.00727320816233516	1
154.636004939675	83.9518949861047	76.6005456600155	37.6404999310193	1.70684096841442	5.50318883053203	78.4944642324201	0.00400855091858499	0.00376217520887178	0.00724694702587457	1
154.791506007314	83.9422486493782	76.6230461011929	37.4767407969146	1.11663666236445	1.84263412929107	78.7789280580587	0.00406710022691352	0.00368923660013669	0.00728820785712248	1
154.895498603582	83.9309158638694	76.6435370347303	37.3187555555489	-0.0264982992411404	-0.868323102540267	79.0468657186496	0.00411209373202911	0.00363238113766083	0.00732133978423900	1
154.989503324032	83.9150398710711	76.6700489429535	37.1267186994569	-0.680387448764996	-1.74018600704349	79.2721257981739	0.00412581757898726	0.00361471081099423	0.00733253572803689	1
155.098504945636	83.8878741515618	76.6917505853115	36.8750644875112	-0.614982871204856	-1.18178850795307	79.4718467813414	0.00411502468847201	0.00362801033430289	0.00732498352366036	1
155.225510895252	83.8315874993767	76.7102739901885	36.6684341650820	1.01229020830652	0.801669157734660	79.6852060839445	0.00408057483055040	0.00366842190043148	0.00729910931613434	1
155.337499827147	83.7859461320884	76.7241835490571	36.4558759773642	1.44448983716237	0.945237566700734	79.8141469603752	0.00407654719924304	0.00367075976424586	0.00729660885014473	1
155.441502481699	83.7474227143158	76.7427820478435	36.2595778511009	1.19037445140171	-0.806290141435623	79.8501431765710	0.00410606324426646	0.00363062296882212	0.00731764376747020	1
155.543996393681	83.7047055055659	76.7717166868208	36.0841267812663	0.657221997821056	-2.20200649443857	79.8701359163460	0.00413013495814006	0.00359916195772960	0.00733473513372187	1
155.647999048233	83.6816841600596	76.7883252316747	35.8819414277773	0.705734190137631	-2.10860743541320	79.8277731406256	0.00412715228588829	0.00360225733415663	0.00733324834047920	1
